Player,Move,Brilliancy,Win,Time Taken,Kill Moves
White,e3,Book,51.5,5,No
Black,(1)e5,Book,51.6,3,No
White,Bc4,Book,42.4,6,No
Black,(1)Nc6,Excellent,49.9,4,No
White,Qf3,Good,41.8,5,No
Black,..Nf6,Best,44.4,3,No
White,(1)e4,Mistake,28.8,6,No
Black,Bc5,Inaccuracy,39.3,4,No
White,d3,Good,28.9,5,No
Black,Nd4,Excellent,33.6,3,No
White,Qd1,Best,30.0,6,No
Black,O-O,Inaccuracy,48.8,4,No
White,c3,Best,47.9,5,No
Black,Nc6,Excellent,50.0,3,No
White,f4,Blunder,3.8,6,No
Black,d6,Miss,34.8,4,No
White,f5,Inaccuracy,10.0,5,No
Black,.a6,Mistake,43.8,3,No
White,.Nf3,Miss,23.8,6,No
Black,b5,Inaccuracy,39.6,4,No
White,Bb3,Best,33.3,5,No
Black,.Ng4,Mistake,55.9,3,No
White,(1)Qe2,Good,50.0,6,No
Black,h6,Good,46.1,4,No
White,c4,Mistake,34.5,5,No
Black,bxc4,Best,36.1,3,Yes
White,Nf3,Excellent,51.2,2,No
Black,(2)Nc6,Excellent,49.7,2,No
White,Bb5,Good,47.5,2,No
Black,a6,Good,48.1,2,No
White,(1)O-O,Inaccuracy,49.0,3,No
Black,.Nf6,Inaccuracy,48.5,3,No
White,(1)c4,Mistake,46.7,3,No
Black,.d6,Mistake,47.1,3,No
White,e5,Brilliancy,50.4,2,No
Black,Nxd4,Brilliancy,50.9,2,No
White,(1)Nxd4,Blunder,45.1,3,No
Black,exd4,Blunder,45.5,3,No
White,.d3,Good,48.8,4,No
Black,(1)Bd7,Good,49.2,4,No
White,Qe2,Best,51.9,3,No
Black,Qb6,Best,52.5,3,No
White,Re1,Excellent,53.6,5,No
Black,(1)Bb7,Excellent,54.2,5,No
White,.f4,Miss,51.1,4,No
Black,g6,Miss,51.5,4,No
White,Nge2,Inaccuracy,49.4,5,No
Black,Bg7,Inaccuracy,49.7,5,No
White,h4,Book,50.0,3,No
Black,h5,Book,50.0,3,No
White,.g4,Brilliancy,50.3,4,No
Black,Ng4,Brilliancy,50.8,4,No
White,hxg5,Blunder,44.9,5,No
Black,Nxg5,Blunder,45.3,5,No
White,Qxg5,Good,48.6,6,No
Black,Rg8,Good,49.0,6,No
White,Rh3,Best,51.7,5,No
Black,Rxh3+,Best,52.3,5,No
White,(1)Kf2,Excellent,53.4,7,No
Black,Qxg3,Excellent,54.0,7,No
White,Bxc4,Best,36.4,6,Yes
Black,Bb4+,Mistake,47.1,4,No
White,Nc3,Good,46.3,5,No
Black,Bxc3+,Good,55.6,3,Yes
White,bxc3,Best,54.4,6,Yes
Black,Bb7,Good,57.1,4,No
White,Be3,Inaccuracy,50.5,5,No
Black,Na5,Best,50.3,3,No
White,Bd5,Good,43.4,6,No
Black,Bxd5,Best,42.9,4,Yes
White,exd5,Best,42.3,5,Yes
Black,Qe7,Inaccuracy,51.0,3,No
White,h3,Excellent,44.1,6,No
Black,Nf6,Best,45.0,4,No
White,g4,Best,42.3,5,Yes
Black,e4,Inaccuracy,31.0,3,No
White,dxe4,Inaccuracy,29.3,6,Yes
Black,Bxe4,Inaccuracy,39.4,4,Yes
White,.Qd3,Mistake,23.9,5,No
Black,Qf6,Blunder,82.4,3,No
White,Qxe4,Great,82.5,6,Yes
Black,Qxc3+,Inaccuracy,96.1,4,Yes
White,Kf2,Best,93.6,5,No
Black,Rfe8,Best,94.1,3,No
White,Qf4,Good,94.1,6,No
Black,Nc4,Good,93.7,4,No
White,Rae1,Mistake,64.3,5,No
Black,Qc2+,Miss,97.9,3,No
White,Re2,Great,94.1,6,No
Black,Qd3,Excellent,99.2,4,No
White,Rhe1,Mistake,66.4,5,No
Black,g5,Miss,99.8,3,No
White,fxg6,Excellent,99.8,6,Yes
Black,fxg6,Best,99.8,4,Yes
White,Qxh6,Inaccuracy,99.8,5,Yes
Black,Qxd5,Blunder,100.0,3,Yes
White,Qxg6+,Best,100.0,6,Yes
Black,Kf8,Inaccuracy,100.0,4,No
White,Bh6#,Best,100.0,6,No
