Player,Move,Brilliancy,Win,Time Taken,Kill Moves,Score
White,e3,Book,51.5,5,No,0
Black,(1)e5,Book,51.6,3,No,0
White,Bc4,Book,42.4,6,No,0
Black,(1)Nc6,Excellent,49.9,4,No,0
White,Qf3,Good,41.8,5,No,0
Black,..Nf6,Best,44.4,3,No,0
White,(1)e4,Mistake,28.8,6,No,0
Black,Bc5,Inaccuracy,39.3,4,No,0
White,d3,Good,28.9,5,No,0
Black,Nd4,Excellent,33.6,3,No,0
White,Qd1,Best,30.0,6,No,0
Black,O-O,Inaccuracy,48.8,4,No,0
White,c3,Best,47.9,5,No,0
Black,Nc6,Excellent,50.0,3,No,0
White,f4,Blunder,3.8,6,No,0
Black,d6,Miss,34.8,4,No,0
White,f5,Inaccuracy,10.0,5,No,0
Black,.a6,Mistake,43.8,3,No,0
White,.Nf3,Miss,23.8,6,No,0
Black,b5,Inaccuracy,39.6,4,No,0
White,Bb3,Best,33.3,5,No,0
Black,.Ng4,Mistake,55.9,3,No,0
White,(1)Qe2,Good,50.0,6,No,0
Black,h6,Good,46.1,4,No,0
White,c4,Mistake,34.5,5,No,0
Black,bxc4,Best,36.1,3,Yes,-1
White,Nf3,Excellent,51.2,2,No,-1
Black,(2)Nc6,Excellent,49.7,2,No,-1
White,Bb5,Good,47.5,2,No,-1
Black,a6,Good,48.1,2,No,-1
White,(1)O-O,Inaccuracy,49.0,3,No,-1
Black,.Nf6,Inaccuracy,48.5,3,No,-1
