Player,Move,Brilliancy,Win,Time Taken,Kill Moves,Score
White,e3,Book,51.5,1,No,0
Black,e5,Book,51.6,2,No,0
White,Bc4,Book,42.4,6,No,0
Black,(2)Nc6,Excellent,49.9,3,No,0
White,Qf3,Good,41.8,2,No,0
Black,Nf6,Best,44.4,7,No,0
White,(4)e4,Mistake,28.8,6,No,0
Black,Bc5,Inaccuracy,39.3,4,No,0
White,d3,Good,28.9,4,No,0
Black,Nd4,Excellent,33.6,3,No,0
White,Qd1,Best,30,11,No,0
Black,O-O,Inaccuracy,48.8,4,No,0
White,c3,Best,47.9,15,No,0
Black,(7)Nc6,Excellent,50,3,No,0
White,f4,Blunder,3.8,6,No,0
Black,d6,Miss,34.8,1,No,0
White,f5,Inaccuracy,10,1,No,0
Black,a6,Mistake,43.8,1,No,0
White,Nf3,Miss,23.8,10,No,0
Black,b5,Inaccuracy,39.6,5,No,0
White,Bb3,Best,33.3,5,No,0
Black,Ng4,Mistake,55.9,7,No,0
White,Qe2,Good,50,7,No,0
Black,h6,Good,46.1,7,No,0
White,c4,Mistake,34.5,7,No,0
Black,bxc4,Best,36.1,7,Yes,-1
White,Bxc4,Best,36.4,2,Yes,2
Black,Bb4+,Mistake,47.1,4,No,2
White,Nc3,Good,46.3,5,No,2
Black,Bxc3+,Good,55.6,3,Yes,-1
White,bxc3,Best,54.4,6,Yes,0
Black,Bb7,Good,57.1,4,No,0
White,Be3,Inaccuracy,50.5,1,No,0
Black,Na5,Best,50.3,2,No,0
White,Bd5,Good,43.4,6,No,0
Black,Bxd5,Best,42.9,5,Yes,-3
White,exd5,Best,42.3,5,Yes,-2
Black,Qe7,Inaccuracy,51,3,No,-2
White,h3,Excellent,44.1,6,No,-2
Black,Nf6,Best,45,4,No,-2
White,g4,Best,42.3,5,Yes,-1
Black,e4,Inaccuracy,31,3,No,-1
White,dxe4,Inaccuracy,29.3,1,Yes,0
Black,Bxe4,Inaccuracy,39.4,4,Yes,-3
White,Qd3,Mistake,23.9,5,No,-3
Black,Qf6,Blunder,82.4,1,No,-3
White,Qxe4,Great,82.5,5,Yes,6
Black,Qxc3+,Inaccuracy,96.1,4,Yes,-3
White,Kf2,Best,93.6,5,No,-3
Black,Rfe8,Best,94.1,5,No,-3
White,Qf4,Good,94.1,6,No,-3
Black,Nc4,Good,93.7,4,No,-3
White,Rae1,Mistake,64.3,5,No,-3
Black,Qc2+,Miss,97.9,2,No,-3
White,e3,Book,51.5,1,No,-3
Black,e5,Book,51.6,2,No,-3
White,Bc4,Book,42.4,6,No,-3
Black,(2)Nc6,Excellent,49.9,3,No,-3
White,Qf3,Good,41.8,2,No,-2
Black,Nf6,Best,44.4,7,No,-3
White,(4)e4,Mistake,28.8,6,No,6
Black,Bc5,Inaccuracy,39.3,4,No,-3
White,d3,Good,28.9,4,No,6
Black,Nd4,Excellent,33.6,3,No,6
White,Qd1,Best,30,11,No,6
Black,O-O,Inaccuracy,48.8,4,No,
White,c3,Best,47.9,15,No,
Black,(7)Nc6,Excellent,50,3,No,
White,f4,Blunder,3.8,6,No,
Black,d6,Miss,34.8,1,No,
White,f5,Inaccuracy,10,1,No,
Black,a6,Mistake,43.8,1,No,
White,Nf3,Miss,23.8,10,No,
Black,b5,Inaccuracy,39.6,5,No,
White,Bb3,Best,33.3,5,No,
Black,Ng4,Mistake,55.9,7,No,
White,Qe2,Good,50,7,No,
Black,h6,Good,46.1,7,No,
White,c4,Mistake,34.5,7,No,
Black,bxc4,Best,36.1,7,Yes,
White,Bxc4,Best,36.4,2,Yes,
Black,Bb4+,Mistake,47.1,4,No,
White,Nc3,Good,46.3,5,No,
Black,Bxc3+,Good,55.6,3,Yes,
White,bxc3,Best,54.4,6,Yes,
Black,Bb7,Good,57.1,4,No,
White,Be3,Inaccuracy,50.5,1,No,
Black,Na5,Best,50.3,2,No,
White,Bd5,Good,43.4,6,No,
Black,Bxd5,Best,42.9,5,Yes,
White,exd5,Best,42.3,5,Yes,
Black,Qe7,Inaccuracy,51,3,No,
White,h3,Excellent,44.1,6,No,
Black,Nf6,Best,45,4,No,
White,g4,Best,42.3,5,Yes,
Black,e4,Inaccuracy,31,3,No,
White,dxe4,Inaccuracy,29.3,1,Yes,
Black,Bxe4,Inaccuracy,39.4,4,Yes,
White,Qd3,Mistake,23.9,5,No,
Black,Qf6,Blunder,82.4,1,No,
White,Qxe4,Great,82.5,5,Yes,
Black,Qxc3+,Inaccuracy,96.1,4,Yes,
White,fxg6,Excellent,99.8,14,Yes,
Black,fxg6,Best,99.8,4,Yes,
White,Qxh6,Inaccuracy,99.8,1,Yes,
White,Re2,Great,94.1,2,No,
Black,(28)Qd3,Excellent,99.2,4,No,
White,Rhe1,Mistake,66.4,5,No,
Black,g5,Miss,99.8,13,No,
White,fxg6,Excellent,99.8,14,Yes,
Black,fxg6,Best,99.8,4,Yes,
White,Qxh6,Inaccuracy,99.8,1,Yes,
Black,Qxd5,Blunder,100,3,Yes,
White,Qxg6+,Best,100,4,Yes,
Black,Kf8,Inaccuracy,100,4,No,
White,Bh6#,Best,100,6,No,
